Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B
Q86W56,0.16219137613495982,-1.7533845052401513,0.2047445575943546,0.840408175393069,0.9814587007762364,-4.609481482170807
P17342,0.14112685264607405,-1.1538256102933888,0.20332799718813216,0.8414962153807415,0.9814587007762364,-4.609490533896789
A0A0U1RQM7,-0.1673149346781706,-2.4269955703280477,-0.20215756993951026,0.8423954549779211,0.9814587007762364,-4.609497965926082
Q96GE4,0.17665635354886478,-1.424518942497278,0.20210196477529946,0.8424381820699587,0.9814587007762364,-4.609498317953531
Q8NCI6,0.15495213324134705,-1.704427699327122,0.20210183461879222,0.842438282083013,0.9814587007762364,-4.609498318777419
E9PPF2,0.23737594524447925,-4.209758218669364,0.201801291211151,0.842669228912607,0.9814587007762364,-4.609500219809614
Q2TAL5,-0.16135145938843953,-3.095803534927244,-0.20166273661975034,0.8427757035433183,0.9814587007762364,-4.609501095268233
F8VRQ3,-0.10627257201872847,0.4876155138622809,-0.200613451314046,0.8435821470009037,0.9814587007762364,-4.609507705867343
Q9NZP8,-0.1002907632107986,0.30197025365479613,-0.19920031989684028,0.8446685141902205,0.9814587007762364,-4.609516554783829
A1L4K1,-0.07358792819322318,0.3526585004346372,-0.19916180492704375,0.844698127737494,0.9814587007762364,-4.609516795094583
Q9UPW8,0.12919230770405898,-0.3148614776741431,0.1981810404814288,0.8454523030095419,0.9814587007762364,-4.6095228989853405
P36383,-0.10245439075185392,-0.427478595655959,-0.19806367074861128,0.8455425668715574,0.9814587007762364,-4.609523627449385
K7ENW9,-0.11703991439576822,0.9426776129892154,-0.19743119979565268,0.846029010560919,0.9814587007762364,-4.6095275455722255
O00267,-0.09978004530340567,-1.0279169014472995,-0.19613055483965466,0.8470295601075394,0.9814587007762364,-4.609535563996258
B1ANR0,-0.13527508069804783,-3.976632142638254,-0.19549609994422,0.8475177268054775,0.9814587007762364,-4.609539456339062
Q9Y4E8,-0.09076564567547551,1.5135415748187424,-0.19318924344078836,0.8492932245074691,0.9814587007762364,-4.609553503483004
J3KTH2,0.13846154510278996,-3.7873839341511717,0.19270330438016703,0.8496673403250575,0.9814587007762364,-4.609556441450795
P22792,-0.1055768720006458,2.019712830874621,-0.19084124036139052,0.8511012536516369,0.9814587007762364,-4.609567631546935
F5H481,-0.12370794151480538,0.2866250271141832,-0.19044886211914108,0.8514034802059304,0.9814587007762364,-4.609569975815622
P78325,0.22004443358570303,-6.093110051358831,0.18952045306626106,0.8521186760622845,0.9814587007762364,-4.609575503567237
O14578,-0.08823686018505561,1.7592417510774798,-0.18885970183913303,0.8526277642838961,0.9814587007762364,-4.609579421377347
P48426,-0.09415919375367407,-0.03946064905196408,-0.18824661166709972,0.8531001914673427,0.9814587007762364,-4.609583044460695
Q12774,0.13899129794487136,-0.21167567291706552,0.18815504787353188,0.853170752496067,0.9814587007762364,-4.6095835845588775
Q8NHV4,-0.08473206352728813,3.742458777140806,-0.18766652648873056,0.8535472393750589,0.9814587007762364,-4.609586461749503
A0A7P0T968,-0.11486685834772947,-1.3056476231674738,-0.18688260251494512,0.8541514595514169,0.9814587007762364,-4.609591063245964
P05783,0.12832058786088107,-1.6824833952796137,0.18552750663850878,0.8551961397128987,0.9814587007762364,-4.609598972392006
Q01432,-0.14763823961751643,-1.1416357276392426,-0.18499229459406313,0.8556088261133796,0.9814587007762364,-4.6096020804890365
Q9ULH7,-0.08361819598134734,1.8389960816686834,-0.18347294932854435,0.8567805848830643,0.9814587007762364,-4.609610855161918
H3BTQ6,-0.13630404565811852,-0.11621441195295468,-0.18277065993740355,0.8573223261770018,0.9814587007762364,-4.609614886844763
Q96QF0,-0.11909078402311346,-2.5295453383693336,-0.18098679384483504,0.8586987197164075,0.9814587007762364,-4.609625058673644
Q9H3Q1,0.12655595597236302,-1.4277349435269553,0.18059179589113303,0.8590035557886933,0.9814587007762364,-4.609627297621732
P68871,-0.08285358878063942,-1.0529886879281392,-0.17991687123092318,0.8595244761437405,0.9814587007762364,-4.609631112037282
H7BYJ1,-0.12309775418991009,-0.32177616040044693,-0.1779894797890615,0.8610124443292129,0.9814587007762364,-4.609641926918738
Q6UXK2,0.1044770293849755,1.1207225133902783,0.177974312127192,0.8610241560942461,0.9814587007762364,-4.60964201156852
O75197,-0.11251753020761801,-0.5737713742344484,-0.17784620634071388,0.8611230747798065,0.9814587007762364,-4.609642726233509
A6QL64,-0.10918127969522962,1.0487463014554523,-0.17782023218284723,0.8611431313830828,0.9814587007762364,-4.609642871073546
O94955,-0.13495204184780385,-2.003176824377238,-0.17777625182904883,0.861177092150444,0.9814587007762364,-4.609643116273917
Q14980,-0.08305978517592516,2.3178798799661395,-0.17768326024709516,0.8612488993558696,0.9814587007762364,-4.609643634524797
P62736,-0.16873002507506066,0.3197673405452995,-0.17719700218268794,0.8616244036582706,0.9814587007762364,-4.609646340105789
P02647,-0.07334750930659695,6.846162929178514,-0.17618977079391113,0.8624023296907645,0.9814587007762364,-4.6096519210261375
A0A1B0GTV6,-0.1098966234303736,-0.20141241179476285,-0.17615563022302655,0.8624287004243234,0.9814587007762364,-4.6096521096409075
A0A804HIC1,-0.18552626345838918,-2.3509849582390423,-0.17575714197245484,0.8627365116902425,0.9814587007762364,-4.609654308467669
F5H686,-0.15667742459424305,-4.063667787270166,-0.1747011843005571,0.8635522941510333,0.9814587007762364,-4.609660111263183
Q9P107,-0.09059117912987569,-2.5678900321711717,-0.17466080398297,0.863583493233942,0.9814587007762364,-4.609660332475971
Q93084,-0.09802449323505269,-1.3024247165841678,-0.17448023997589823,0.8637230054306269,0.9814587007762364,-4.6096613210268815
O75534,-0.07096190662638169,0.9551198797922754,-0.17442965150333686,0.8637620932876293,0.9814587007762364,-4.609661597806431
A3KMH1,-0.11753931686571417,1.9443527543931391,-0.1739024739405703,0.8641694458259789,0.9814587007762364,-4.609664477359485
Q9NZB8,-0.1570447212149686,-4.470491546100034,-0.1738892685120955,0.8641796502311521,0.9814587007762364,-4.6096645493792225
F5H5U2,-0.0972785920584236,-0.6530001289146529,-0.17387380715279982,0.8641915979231649,0.9814587007762364,-4.609664633695452
Q66GS9,-0.06953144436942682,1.7849796360137677,-0.17342333170950278,0.8645397156437415,0.9814587007762364,-4.609667087030018
A0A7P0T8U3,0.11179120640481433,1.2858986993646406,0.1731303797964296,0.8647661180735415,0.9814587007762364,-4.609668679086154
P01601,0.1728451908400297,-6.079448453443742,0.17309491984818207,0.8647935234617564,0.9814587007762364,-4.609668871613083
A0A2R8Y6X0,0.13553623956200544,-3.7509924028196155,0.17289956912423565,0.8649445043913324,0.9814587007762364,-4.609669931552322
A0A590UJ92,-0.18296519909685927,-3.6063331364951083,-0.1727014063365743,0.8650976642159723,0.9814587007762364,-4.609671005535639
A0A494C0K8,0.09497448303226896,-4.832763159629131,0.1710965449322988,0.8663382645485719,0.9823086731892201,-4.609679658366181
Q86U86,0.09221988615443921,-1.3906750413704463,0.16952176588455203,0.8675559621085752,0.9826109625162156,-4.6096880710519095
J3KQG3,0.3097894486362067,-5.290083915803334,0.16948037999932658,0.8675879684047627,0.9826109625162156,-4.609688291099568
